sentence_id	words	labels
1	ABELIA	O
2	CAPRIFOLIACEAE	O
3	Genus	O
4	of	O
5	deciduous,	O
6	semievergreen	O
7	or	O
8	evergreen	O
9	shrubs,	O
10	grown	O
11	for	O
12	their	O
13	foliage	O
14	and	O
15	freely	O
16	borne	O
17	flowers	O
0		
1	Does	O
2	best	O
3	against	O
4	a	O
5	south-	O
6	or	O
7	west-facing	O
8	wall	O
9	at	O
10	the	O
11	limits	O
12	of	O
13	hardiness	O
0		
1	Requires	O
2	a	O
3	sheltered,	O
4	sunny	O
5	position	O
6	and	O
7	fertile,	O
8	well-drained	O
9	soil	O
0		
1	Remove	O
2	dead	O
3	wood	O
4	in	O
5	late	O
6	spring	O
7	and	O
8	prune	O
9	out	O
10	older	O
11	branches	O
12	after	O
13	flowering	O
14	to	O
15	restrict	O
16	growth,	O
17	if	O
18	required	O
0		
1	Propagate	O
2	by	O
3	softwood	O
4	cuttings	O
5	in	O
6	summer	O
0		
1	‘Edward	O
2	Goucher’,	O
3	illus	O
0		
1	abelia	B
2	floribunda	I
3	(Mexican	O
4	abelia)	O
0		
1	Evergreen,	O
2	arching	O
3	shrub	O
0		
1	H	O
2	10ft	O
3	(3m),	O
4	S	O
5	12ft	O
6	(4m)	O
0		
1	Has	O
2	oval,	O
3	glossy,	O
4	dark	O
5	green	O
6	leaves	O
7	and,	O
8	in	O
9	early	O
10	summer,	O
11	drooping,	O
12	tubular,	O
13	bright	O
14	red	O
15	flowers	O
0		
1	Z8–11	O
2	H11–8	O
0		
1	abelia	O
2	x	O
3	grandiflora,	O
4	illus	O
0		
1	‘Francis	O
2	Mason’	O
3	is	O
4	a	O
5	vigorous,	O
6	semievergreen,	O
7	arching	O
8	shrub	O
0		
1	H	O
2	6ft	O
3	(2m),	O
4	S	O
5	10ft	O
6	(3m)	O
0		
1	Has	O
2	coppery-yellow	O
3	young	O
4	shoots	O
5	and	O
6	oval,	O
7	yellowish-green	O
8	leaves,	O
9	darker	O
10	in	O
11	centers	O
0		
1	Bears	O
2	a	O
3	profusion	O
4	of	O
5	fragrant,	O
6	bellshaped,	O
7	white	O
8	flowers,	O
9	tinged	O
10	with	O
11	pink,	O
12	from	O
13	mid-summer	O
14	to	O
15	mid-fall	O
0		
1	Z6–9	O
2	H9–6	O
0		
1	abelia	O
2	schumannii,	O
3	illus	O
0		
1	abelia	O
2	triflora,	O
3	illus	O
0		
1	ABELIOPHYLLUM	O
2	OLEACEAE	O
3	Genus	O
4	of	O
5	one	O
6	species	O
7	of	O
8	deciduous	O
9	shrub,	O
10	grown	O
11	for	O
12	its	O
13	winter	O
14	flowers	O
0		
1	In	O
2	cold	O
3	regions	O
4	grow	O
5	against	O
6	a	O
7	south-	O
8	or	O
9	westfacing	O
10	wall	O
0		
1	Requires	O
2	plenty	O
3	of	O
4	sun	O
5	and	O
6	fertile,	O
7	well-drained	O
8	soil	O
0		
1	Thin	O
2	out	O
3	excess	O
4	older	O
5	shoots	O
6	after	O
7	flowering	O
8	each	O
9	year	O
10	to	O
11	encourage	O
12	vigorous,	O
13	young	O
14	growth	O
0		
1	Propagate	O
2	by	O
3	softwood	O
4	cuttings	O
5	in	O
6	summer	O
0		
1	abeliophyllum	O
2	distichum	O
3	(Korean	O
4	abelialeaf)	O
0		
1	Deciduous,	O
2	open	O
3	shrub	O
0		
1	H	O
2	and	O
3	S	O
4	4ft	O
5	(1	O
0		
1	In	O
2	late	O
3	winter	O
4	produces	O
5	fragrant,	O
6	star-shaped,	O
7	white	O
8	flowers,	O
9	tinged	O
10	with	O
11	pink,	O
12	on	O
13	bare	O
14	stems;	O
15	flowers	O
16	may	O
17	be	O
18	damaged	O
19	by	O
20	hard	O
21	frosts	O
0		
1	Leaves	O
2	are	O
3	oval	O
4	and	O
5	dark	O
6	green	O
0		
1	Z5–9	O
2	H9–1	O
0		
1	ABIES	O
2	PINACEAE	O
3	Genus	O
4	of	O
5	tall	O
6	conifers	O
7	with	O
8	whorled	O
9	branches	O
0		
1	Spirally	O
2	arranged	O
3	leaves	O
4	are	O
5	needlelike,	O
6	flattened,	O
7	usually	O
8	soft	O
9	and	O
10	often	O
11	have	O
12	silvery	O
13	bands	O
14	beneath	O
0		
1	Bears	O
2	erect	O
3	cones	O
4	that	O
5	ripen	O
6	in	O
7	their	O
8	first	O
9	fall	O
10	to	O
11	release	O
12	seeds	O
13	and	O
14	scales	O
0		
1	See	O
2	also	O
3	CONIFERS	O
0		
1	abies	O
2	alba	O
3	(European	O
4	silver	O
5	fir)	O
0		
1	Fastgrowing,	O
2	conical	O
3	conifer	O
0		
1	H	O
2	50–80ft	O
3	(15–25m),	O
4	S	O
5	15–25ft	O
6	(5–8m)	O
0		
1	Has	O
2	silverygray	O
3	bark	O
4	and	O
5	dull	O
6	green	O
7	leaves,	O
8	silvery	O
9	beneath	O
0		
1	Cylindrical	O
2	cones,	O
3	4–6in	O
4	(10–15cm)	O
5	long,	O
6	ripen	O
7	to	O
8	red-brown	O
0		
1	Z5–8	O
2	H8–5	O
0		
1	abies	O
2	amabilis	O
3	(Pacific	O
4	fir)	O
0		
1	Conical	O
2	conifer	O
0		
1	H	O
2	50ft	O
3	(15m),	O
4	S	O
5	12–15ft	O
6	(4–5m)	O
0		
1	Dense,	O
2	notched,	O
3	square-tipped,	O
4	glossy,	O
5	dark	O
6	green	O
7	leaves,	O
8	banded	O
9	with	O
10	white	O
11	beneath,	O
12	are	O
13	borne	O
14	on	O
15	hairy,	O
16	gray	O
17	shoots	O
0		
1	Oblong,	O
2	violet-blue	O
3	cones	O
4	are	O
5	31/2–6in	O
6	(9–15cm)	O
7	long	O
0		
1	Z6–8	O
2	H8–6	O
0		
1	‘Spreading	O
2	Star’,	O
3	H	O
4	20in	O
5	(50cm),	O
6	S	O
7	12–15ft	O
8	(4–5m),	O
9	is	O
10	a	O
11	procumbent	O
12	form	O
13	suitable	O
14	for	O
15	use	O
16	as	O
17	a	O
18	groundcover	O
0		
1	abies	O
2	balsamea	O
3	(Balsam	O
4	fir)	O
0		
1	hudsonia,	O
2	syn	O
0		
1	abies	O
2	balsamea	O
3	Hudsonia	O
4	Group	O
5	is	O
6	a	O
7	dense,	O
8	dwarf	O
9	conifer	O
10	of	O
11	flattened	O
12	to	O
13	globose	O
14	habit	O
0		
1	H	O
2	and	O
3	S	O
4	2–3ft	O
5	(60cm–1m)	O
0		
1	Has	O
2	smooth,	O
3	gray	O
4	bark	O
5	and	O
6	gray-green	O
7	leaves	O
8	that	O
9	are	O
10	semi-spirally	O
11	arranged	O
0		
1	Z3–6	O
2	H6–1	O
0		
1	Hudsonia	O
2	Group	O
0		
1	See	O
2	A	O
0		
1	balsamea	O
2	f	O
0		
1	‘Nana’	O
2	is	O
3	another	O
4	dwarf	O
5	form	O
6	that	O
7	makes	O
8	a	O
9	dense,	O
10	globose	O
11	mound	O
12	with	O
13	leaves	O
14	that	O
15	are	O
16	spirally	O
17	arranged	O
0		
1	abies	B
2	cephalonica	I
3	(Greek	O
4	fir)	O
0		
1	Upright	O
2	conifer	O
3	with	O
4	a	O
5	conical	O
6	crown;	O
7	old	O
8	trees	O
9	have	O
10	massive,	O
