words	labels	sentence_id
Whitefly	O	0
and	O	0
red	B	0
spider	I	0
mite	O	0
may	O	0
be	O	0
a	O	0
nuisance	O	0
espostoa	B	1
lanata,	I	1
illus	O	1
H	O	2
and	O	2
S	O	2
30ft	O	2
(10m)	O	2
‘Royal	B	3
Standard’	I	3
chusquea	O	4
‘Nantyderry	B	4
Sunshine’,	I	4
illus	O	4
dianthus	I	5
‘Ruby’	I	5
gypsophila	B	6
elegans,	I	6
illus	O	6
Propagate	O	7
by	O	7
seed	O	7
in	O	7
spring	O	7
pandanus	O	8
‘White	B	8
Wings’,	I	8
illus	O	8
daphne	O	9
‘Small	B	9
World’	I	9
(illus	O	9
tulipa	O	10
‘Golden	B	10
Apeldoorn’	I	10
Div	O	10
‘Silver	B	11
Queen’,	I	11
H	O	11
30in	O	11
(75cm),	O	11
has	O	11
densely	O	11
white-woolly	O	11
panicles	O	11
of	O	11
brownish-yellow	O	11
flower	O	11
heads	O	11
from	O	11
mid-summer	O	11
to	O	11
fall	O	11
schlumbergera	O	12
‘Bristol	B	12
Beauty’,	I	12
illus	O	12
‘Pink	B	13
Delight’	I	13
(illus	O	13
escallonia	O	14
‘Donard	B	14
Beauty’,	I	14
illus	O	14
Daddy	O	15
Series	O	15
‘Sugar	B	15
Daddy’,	I	15
illus	O	15
‘Rose	B	16
Glow’,	I	16
illus	O	16
tess	O	17
of	O	17
the	O	17
d’urbervilles	O	17
WHITE	B	17
GOLD	I	17
(‘Cocquiriam’)	O	17
Has	O	18
tight,	O	18
rounded	O	18
heads	O	18
of	O	18
small	O	18
flowers	O	18
Red	B	19
spider	I	19
mite	O	19
may	O	19
be	O	19
a	O	19
problem	O	19
Oval,	O	20
glossy,	O	20
dark	O	20
green	O	20
leaves	O	20
often	O	20
turn	O	20
yellow	O	20
or	O	20
orange	O	20
in	O	20
fall	O	20
tanacetum	B	21
argenteum,	I	21
syn	O	21
anemone	B	22
blanda	I	22
Spikes	O	23
of	O	23
white	O	23
or	O	23
pinkflushed	O	23
flowers,	O	23
set	O	23
in	O	23
spiny,	O	23
red-purple	O	23
bracts,	O	23
are	O	23
borne	O	23
in	O	23
summer	O	23
clematis	I	24
‘Vyvyan	O	24
Pennell’	O	24
Z5–6	O	25
H6–5	O	25
Red	B	26
spider	I	26
mite	O	26
may	O	26
sometimes	O	26
be	O	26
a	O	26
nuisance	O	26
See	O	27
iris	B	27
unguicularis	I	27
ceanothus	O	28
‘Gloire	O	28
de	O	28
Versailles’,	B	28
syn	I	28
Whitefly,	O	29
red	B	29
spider	I	29
mite	O	29
and	O	29
mealy	O	29
bug	O	29
may	O	29
be	O	29
troublesome	O	29
fargesia	B	30
nitida	I	30
(Fountain	O	30
bamboo),	O	30
syn	O	30
‘Veitchii’	O	31
illus	O	31
Propagate	O	32
by	O	32
softwood	O	32
cuttings	O	32
in	O	32
late	O	32
spring	O	32
iris	O	33
‘Dreaming	B	33
Yellow’,	I	33
illus	O	33
See	O	34
A	O	34
Bears	O	35
erect	O	35
cones	O	35
that	O	35
ripen	O	35
in	O	35
their	O	35
first	O	35
fall	O	35
to	O	35
release	O	35
seeds	O	35
and	O	35
scales	O	35
Z5–8	O	36
H8–3	O	36
hosta	O	37
‘Gold	B	37
Edger’,	I	37
illus	O	37
hemerocallis	O	38
‘Black	B	38
Magic’,	I	38
illus	O	38
Has	O	39
flat	O	39
heads	O	39
of	O	39
bright	O	39
yellow	O	39
flowers	O	39
throughout	O	39
summer	O	39
above	O	39
a	O	39
mass	O	39
of	O	39
small,	O	39
feathery,	O	39
gray-green	O	39
leaves	O	39
Surfinia	O	40
Series	O	40
SURFINIA	O	40
LIME	O	40
(‘Keiyeul’),	O	40
illus	B	40
spathodea	B	41
campanulata,	I	41
illus	O	41
Z5–7	O	42
H7–1	O	42
iris	O	43
‘Tropic	B	43
Night’,	I	43
illus	O	43
Evergreen,	O	44
arching	O	44
shrub	O	44
abies	O	45
concolor	O	45
(White	O	45
fir)	O	45
impatiens	B	46
walleriana	I	46
(Busy	O	46
lizzie,	O	46
Patience	O	46
plant)	B	46
H	O	47
25ft	O	47
(8m),	O	47
S	O	47
40ft	O	47
(12m)	O	47
dianthus	O	48
‘Moulin	B	48
Rouge’	I	48
(illus	O	48
Red	B	49
spider	I	49
mite	O	49
may	O	49
be	O	49
troublesome	O	49
‘Scanlon’,	O	50
illus	O	50
chrysanthemum	O	51
‘Emperor	O	51
of	O	51
China’,	B	51
illus	I	51
‘Happy	B	52
Wanderer’	I	52
illus	O	52
aconitum	O	53
‘Bressingham	B	53
Spire’	I	53
chrysanthus	O	54
‘Zwanenberg	B	54
Bronze’,	I	54
illus	O	54
‘Pixie	B	55
Star’	I	55
(illus	O	55
Whitefly,	O	56
red	B	56
spider	I	56
mite,	O	56
mealy	O	56
bug,	O	56
lime-induced	O	56
and	O	56
magnesiumdeficiency	O	56
chlorosis	O	56
may	O	56
be	O	56
troublesome	O	56
paeonia	O	57
‘Laura	B	57
Dessert’,	I	57
illus	O	57
Pot	O	58
specimens	O	58
under	O	58
glass	O	58
are	O	58
susceptible	O	58
to	O	58
red	B	58
spider	I	58
mite	O	58
Red	B	59
spider	I	59
mite	O	59
may	O	59
be	O	59
a	O	59
problem	O	59
with	O	59
container-grown	O	59
plants	O	59
‘Flore	B	60
Pleno’	I	60
Pacific	O	61
Beauty	O	61
Series	O	61
‘Lemon	B	61
Queen’	I	61
(dwarf)	O	61
illus	O	61
solanum	B	62
pseudocapsicum	I	62
(Christmas	O	62
cherry,	O	62
Jerusalem	O	62
cherry,	O	62
Winter	O	62
cherry)	O	62
‘Filifera	B	63
Aurea’	I	63
(illus	O	63
See	O	64
also	O	64
CONIFERS	O	64
DIAPENSIA	O	65
DIAPENSIACEAE	O	65
Genus	O	65
of	B	65
evergreen,	I	65
spreading	I	65
subshrubs,	O	65
suitable	O	65
for	O	65
rock	O	65
gardens	O	65
and	O	65
troughs	O	65
See	O	66
acantholimon	O	66
saccharum	O	66
subsp	O	66
matteuccia	O	67
‘Giant	B	67
Excelsior’,	I	67
illus	O	67
Branches	O	68
are	O	68
striped	O	68
green	O	68
and	O	68
white	O	68
‘Lemon	B	69
Bells’,	I	69
illus	O	69
‘Veronica	O	70
Tennant’,	O	70
illus	O	70
Red	B	71
spider	I	71
mite	O	71
may	O	71
be	O	71
troublesome	O	71
Upright,	O	72
architectural	O	72
perennial	O	72
abies	O	73
homolepis	O	73
(Nikko	O	73
fir)	O	73
turraea	O	74
‘White	B	74
Dream’	I	74
Div	O	74
ACANTHOLIMON	O	75
PLUMBAGINACEAE	O	75
Genus	O	75
of	O	75
evergreen	O	75
perennials,	O	75
grown	O	75
for	O	75
their	O	75
flowers	O	75
and	O	75
tight	O	75
cushions	O	75
of	O	75
spiny	O	75
leaves	O	75
Rhizomatous,	O	76
beardless	O	76
Siberian	B	76
iris	I	76
417)	B	77
has	I	77
rich	I	77
blue	I	77
flowers	O	77
that	O	77
have	O	77
higher	O	77
margins	O	77
and	O	77
a	O	77
darker	O	77
base	O	77
H	B	78
10–12in	I	78
(25–30cm),	I	78
S	O	78
6–8in	O	78
(15–20cm)	O	78
Single	O	79
dahlia	B	79
See	O	80
muscari	B	80
neglectum	I	80
‘Mount	B	81
Fuji’,	I	81
syn	O	81
‘Weymouth	B	82
Midnight’,	I	82
illus	O	82
chinensis	O	83
‘China	B	83
Girl’	I	83
(Bigleaf	O	83
dogwood)	O	83
(illus	O	83
See	O	84
iris	B	84
unguicularis	I	84
subsp	O	84
schlumbergera	O	85
‘Gold	B	85
Charm’,	I	85
illus	O	85
populus	B	86
alba,	I	86
illus	O	86
acantholimon	O	87
nikoense	O	87
(Nikko	O	87
maple)	O	87
‘The	B	88
Rocket’,	I	88
S	O	88
11/2ft	O	88
(45cm),	O	88
has	O	88
slender	O	88
spikes	O	88
of	O	88
rose-red	O	88
flowers	O	88
acantholimon	O	89
circinatum	O	89
(Vine	O	89
maple)	O	89
deutzia	O	90
x	O	90
elegantissima	O	90
‘Fasciculata’	O	90
Deciduous,	O	90
upright	O	90
shrub	B	90
impatiens	B	91
tinctoria,	I	91
illus	O	91
potentilla	B	92
eriocarpa,	I	92
illus	O	92
populus	B	93
alba	I	93
‘Rocket’,	O	93
S25ft	O	93
(8m),	O	93
is	O	93
narrowly	O	93
conical	O	93
agapanthus	O	94
‘Blue	B	94
Giant’	I	94
Z12–15	O	95
H12–1	O	95
justicia	B	95
brandegeeana,	I	95
syn	O	95
In	O	96
the	O	96
growing	O	96
season,	O	96
young	O	96
plants	O	96
may	O	96
need	O	96
tip	O	96
pruning	O	96
to	O	96
promote	O	96
bushy	O	96
growth	O	96
‘Flore	B	97
Pleno’	I	97
H	O	98
and	O	98
S	O	98
30ft	O	98
(10m)	O	98
aglaonema	O	99
‘Silver	B	99
King’,	I	99
illus	O	99
rosa	O	100
‘New	B	100
Dawn’,	I	100
illus	O	100
laxiflorum,	O	101
illus	O	101
‘Purpurea	O	102
Plena	O	102
Elegans’	B	102
abies	O	103
grandis,	O	103
illus	O	103
hoya	B	104
carnosa,	I	104
illus	O	104
Z11	O	105
H11–10	O	105
Has	O	106
3-lobed,	O	106
mid-green	O	106
leaves,	O	106
mottled	O	106
and	O	106
edged	O	106
with	O	106
white,	O	106
that	O	106
turn	O	106
orange	O	106
and	O	106
red	O	106
in	O	106
fall	O	106
Upright	O	107
conifer	O	107
producing	O	107
tiered,	O	107
spreading	O	107
branches	O	107
Propagate	O	108
by	O	108
softwood	O	108
cuttings	O	108
in	O	108
summer	O	108
lilium	O	109
‘Gran	B	109
Paradiso’,	I	109
illus	O	109
turraea	O	110
‘White	B	110
Triumphator’	I	110
Div	O	110
Red	B	111
spider	I	111
mite	O	111
and	O	111
whitefly	O	111
may	O	111
be	O	111
troublesome	O	111
jasminum	B	112
humile,	I	112
illus	O	112
H	I	113
6in	I	113
(15cm),	O	113
S	O	113
12in	O	113
(30cm)	O	113
Z3–9	O	114
H9–1	O	114
Bell-shaped,	O	115
soft	B	115
blue	I	115
flowers,	O	115
each	O	115
with	O	115
fluted	O	115
petals	O	115
and	O	115
a	O	115
short	O	115
spur,	O	115
are	O	115
produced	O	115
in	O	115
summer	O	115
Has	O	116
oval,	O	116
hairy,	O	116
mid-green	O	116
leaves	O	116
and,	O	116
in	O	116
summer	O	116
and	O	116
early	O	116
fall,	O	116
clusters	O	116
of	O	116
light	B	116
pink	I	116
flowers	O	116
Has	O	117
a	O	117
somewhat	O	117
looser	O	117
habit	O	117
than	O	117
dianthus	O	117
‘Haytor	B	117
White’	I	117
pittosporum	O	118
undulatum	O	118
(Australian	O	118
mock	B	118
orange,	I	118
Cheesewood)	O	118
tradescantia	O	119
‘Purple	B	119
Dome’,	I	119
illus	O	119
See	O	120
pseudolarix	B	120
amabilis	I	120
Echinocactus	O	121
asterias	O	121
(Sea	O	121
urchin,	O	121
Silver	B	121
dollar	I	121
cactus)	O	121
‘Hydon	B	122
Sunset’,	I	122
illus	O	122
allium	O	123
‘Mount	B	123
Everest’,	I	123
illus	O	123
‘Green	B	124
Flutter’,	I	124
illus	O	124
See	O	125
Echinopsis	B	125
aurea	I	125
H	O	126
6ft	O	126
(2m)	O	126
or	O	126
more,	O	126
S	O	126
3–6ft	O	126
(1–2m)	O	126
Z3–7	O	127
H7–1	O	127
Deciduous,	O	128
open	O	128
shrub	O	128
H	O	129
30–50ft	O	129
(10–15m),	O	129
S	O	129
10–12ft	O	129
(3–4m)	O	129
‘Summershade’	O	130
has	O	130
dark	O	130
green	O	130
leaves	O	130
H	O	131
3ft	O	131
(90cm),	O	131
S	O	131
16in	O	131
(40cm)	O	131
See	I	132
clematis	O	132
‘Purpurea	O	132
Plena	O	132
Elegans’	B	132
‘Chettle	B	133
Charm’	I	133
(illus	O	133
Whitefly	O	134
and	O	134
red	B	134
spider	I	134
mite	O	134
may	O	134
be	O	134
a	O	134
problem	O	134
Prefers	O	135
full	O	135
sun	O	135
and	O	135
needs	O	135
deep,	O	135
fertile,	O	135
moist	O	135
but	O	135
well-drained	O	135
soil;	O	135
resents	O	135
dry	O	135
soil,	O	135
apart	O	135
from	O	135
populus	B	135
alba,	I	135
which	O	135
thrives	O	135
in	O	135
coastal	O	135
gardens	O	135
prunus	O	136
‘Mount	B	136
Fuji’	I	136
narcissus	O	137
‘Home	B	137
Fires’,	I	137
Div	O	137
Evergreen,	O	138
upright,	O	138
soft-stemmed	O	138
shrub	O	138
nymphaea	O	139
‘Blue	B	139
Beauty’,	I	139
illus	O	139
See	O	140
prunus	O	140
x	O	140
subhirtella	O	140
‘Pendula	B	140
Rubra’	I	140
Does	O	141
best	O	141
against	O	141
a	O	141
south-	O	141
or	O	141
west-facing	O	141
wall	O	141
at	O	141
the	O	141
limits	O	141
of	O	141
hardiness	O	141
Dense	O	142
spikes	O	142
of	O	142
small,	O	142
funnelshaped,	O	142
purple-and-white	O	142
flowers	O	142
are	O	142
produced	O	142
in	O	142
summer	O	142
daphne	O	143
‘Trengrove	B	143
Millennium’	I	143
(illus	O	143
beschorneria	O	144
linearifolia	O	144
‘Orange	B	144
King’,	I	144
illus	O	144
See	O	145
blechnum	B	145
penna-marina	I	145
daphne	O	146
‘White	B	146
Ballet’	I	146
(illus	O	146
calibrachoa	O	147
Cabaret	O	147
Series	B	147
CABARET	B	147
APRICOT	I	147
(‘Balcabapt’)	O	147
Mound-forming	O	147
and	O	147
trailing,	O	147
prolific	O	147
tender	O	147
perennial,	O	147
grown	O	147
as	O	147
an	O	147
annual	O	147
See	O	148
globba	O	148
colvillii	O	148
‘The	B	148
Bride’	I	148
‘Hampton	B	149
Court’	I	149
(illus	O	149
lilium	O	150
‘Bright	B	150
Star’,	I	150
illus	O	150
metrosideros	B	151
excelsa,	I	151
syn	O	151
malus	O	152
‘Golden	B	152
Hornet’,	I	152
syn	O	152
‘Heavenly	B	153
Blue’	I	153
(illus	O	153
abies	O	154
alba	O	154
(European	O	154
silver	O	154
fir)	O	154
rosa	O	155
PINK	B	155
PERFECTION	I	155
(‘Korpauvio’),	O	155
illus	O	155
proboscidea	O	156
jussieui,	O	156
proboscidea	O	156
proboscidea,	O	156
Martynia	O	156
louisianica	O	156
(Common	O	156
devil’s	O	156
claw,	O	156
Common	O	156
unicorn	B	156
plant,	I	156
Ram’s	O	156
horn)	O	156
‘Brilliantissimum’,	O	157
illus	O	157
H	O	158
30in	B	158
(75cm),	I	158
S	I	158
24in	O	158
(60cm)	O	158
Z3–7	O	159
H7–1	O	159
Polygonum	O	160
aubertii	O	160
(Silver	O	160
flea	O	160
vine,	O	160
Silver	B	160
lace	I	160
vine)	O	160
Red	B	161
spider	I	161
mite	O	161
may	O	161
be	O	161
troublesome	O	161
Has	O	162
long,	O	162
deeply	O	162
cut,	O	162
basal,	O	162
dark	O	162
green	O	162
leaves	O	162
‘Cherokee	B	163
Princess’	I	163
(illus	O	163
tradescantia	B	164
zebrina,	I	164
syn	O	164
acis	O	165
saccharum	O	165
(Sugar	O	165
maple)	O	165
H	O	166
4in	O	166
(10cm),	O	166
S	O	166
9in	O	166
(23cm)	O	166
or	O	166
more	O	166
crepis	B	167
aurea,	I	167
illus	O	167
ipomoea	O	168
rubrocaerulea	O	168
‘Heavenly	B	168
Blue’	I	168
LATHRAEA	O	169
SCROPHULARIACEAE	O	169
Genus	O	169
of	O	169
spreading	O	169
perennials	O	169
that	O	169
grow	O	169
as	O	169
parasites	O	169
