sentence_id	words	labels
1	BETULA	B
2	PENDULA	I
3	Roth	O
4	Familia:	O
5	Betulaceae	O
6	Sinónimos:	O
7	Betula	O
8	verrucosa	O
9	Ehrh	O

1	Nombre	O
2	común:	O
3	Abedul	O
4	Lugar	O
5	de	O
6	origen:	O
7	Especie	O
8	autóctona	O
9	originaria	O
10	de	O
11	casi	O
12	toda	O
13	Europa,	O
14	Oeste	O
15	de	O
16	Siberia,	O
17	Este	O
18	de	O
19	Asia	O
20	y	O
21	Norte	O
22	de	O
23	Marruecos	O

1	Etimología:	O
2	Betula,	O
3	nombre	O
4	latino	O
5	del	O
6	abedul	O

1	Pendula,	O
2	del	O
3	latín	O
4	pendulus-a-um,	O
5	colgante,	O
6	por	O
7	sus	O
8	frutos	O

1	Descripción:	O
2	Árbol	O
3	que	O
4	puede	O
5	alcanzar	O
6	hasta	O
7	30	O
8	m	O

1	de	O
2	altura,	O
3	con	O
4	la	O
5	corteza	O
6	al	O
7	principio	O
8	rojiza,	O
9	parecida	O
10	a	O
11	la	O
12	de	O
13	un	O
14	cerezo,	O
15	y	O
16	después	O
17	blanco-rosada,	O
18	con	O
19	anchas	O
20	bandas	O
21	horizontales	O
22	grises	O

1	Con	O
2	la	O
3	edad	O
4	pasa	O
5	a	O
6	ser	O
7	blanca	O
8	con	O
9	manchas	O
10	romboidales	O
11	negras,	O
12	grietas	O
13	oscuras	O
14	y	O
15	arrugas	O
16	en	O
17	la	O
18	base	O

1	Ramas	O
2	colgantes,	O
3	al	O
4	menos	O
5	en	O
6	su	O
7	extremidad	O

1	Ramillos	O
2	con	O
3	abundantes	O
4	glándulas	O
5	resinosas	O

1	Hojas	O
2	romboidales	O
3	u	O
4	ovadoromboidales,	O
5	de	O
6	4-6	O
7	cm	O

1	de	O
2	longitud	O
3	y	O
4	2-4	O
5	cm	O

1	de	O
2	anchura;	O
3	pecíolo	O
4	de	O
5	1	O

1	5	O
2	cm	O

1	de	O
2	longitud;	O
3	base	O
4	generalmente	O
5	cuneiforme,	O
6	apiculadas,	O
7	con	O
8	el	O
9	margen	O
10	doblemente	O
11	aserrado	O
12	y	O
13	6-9	O
14	pares	O
15	de	O
16	nervios	O

1	Flores	O
2	masculinas	O
3	en	O
4	amentos	O
5	precoces,	O
6	colgantes,	O
7	visibles	O
8	durante	O
9	todo	O
10	el	O
11	invierno,	O
12	de	O
