words	labels	sentence_id
Z3–8	O	0
H8–1	O	0
See	O	1
syringa	B	1
vulgaris	I	1
‘Primrose’	O	1
H	O	2
24in	O	2
(60cm)	O	2
or	O	2
more,	O	2
S	O	2
16in	O	2
(40cm)	O	2
H	O	3
10–15ft	O	3
(3–5m),	O	3
S	O	3
10–12ft	O	3
(3–4m)	O	3
Deciduous,	O	4
bushy-headed	O	4
shrub	O	4
or	O	4
tree	O	4
Z5–8	O	5
H8–3	O	5
‘Nathalie’,	O	6
H	O	6
6in	O	6
(15cm),	O	6
S	O	6
16in	O	6
(40cm),	O	6
the	O	6
deepest	O	6
and	O	6
brightest	O	6
of	O	6
the	O	6
erica	B	6
carnea	I	6
cultivars,	O	6
has	O	6
purple	O	6
flowers,	O	6
neat,	O	6
dark	O	6
green	O	6
foliage	O	6
and	O	6
a	O	6
compact,	O	6
upright	O	6
habit	O	6
polypodium	O	7
australe,	O	7
polypodium	B	7
vulgare	I	7
subsp	O	7
leycesteria	B	8
formosa	I	8
(Himalayan	O	8
honeysuckle)	O	8
See	O	9
salvia	B	9
splendens	I	9
‘Red	O	9
Riches’	O	9
hedera	B	10
helix	I	10
‘Deltoidea’	O	10
(Sweetheart	O	10
ivy),	O	10
H	O	10
15ft	O	10
(5m),	O	10
S	O	10
10ft	O	10
(3m),	O	10
has	O	10
heart-shaped	O	10
leaves;	O	10
is	O	10
suitable	O	10
only	O	10
for	O	10
growing	O	10
against	O	10
a	O	10
wall	O	10
See	O	11
acaena	B	11
caesiiglauca	I	11
Branches	O	12
are	O	12
streaked	O	12
green	O	12
and	O	12
white	O	12
See	O	13
prunus	B	13
mume	I	13
‘Omoi-no-mama’	O	13
Needs	O	14
full	O	14
sun	O	14
and	O	14
welldrained,	O	14
fertile	O	14
soil,	O	14
but	O	14
ribes	B	14
laurifolium	I	14
tolerates	O	14
shade	O	14
Has	O	15
broadly	O	15
5-lobed,	O	15
dark	O	15
green	O	15
leaves	O	15
cornus	B	16
sanguinea	I	16
(Bloodtwig	O	16
dogwood),	O	16
illus	O	16
See	O	17
colletia	B	17
hystrix	I	17
See	O	18
vestia	B	18
foetida	I	18
Deciduous,	O	19
usually	O	19
compact,	O	19
round-headed	O	19
tree	O	19
or	O	19
shrub	O	19
See	O	20
mimulus	B	20
naiandinus	I	20
Upright	O	21
conifer	O	21
Propagate	O	22
gypsophila	B	22
paniculata	I	22
cultivars	O	22
by	O	22
grafting	O	22
in	O	22
winter,	O	22
others	O	22
by	O	22
softwood	O	22
cuttings	O	22
in	O	22
summer	O	22
or	O	22
by	O	22
seed	O	22
in	O	22
fall	O	22
or	O	22
spring	O	22
See	O	23
crassula	B	23
deceptor	I	23
See	O	24
calathea	B	24
sanderiana	I	24
Has	O	25
feathery,	O	25
dark	O	25
green,	O	25
basal	O	25
leaves	O	25
and	O	25
bears	O	25
flat	O	25
heads	O	25
of	O	25
rose-red	O	25
flowers,	O	25
maturing	O	25
to	O	25
lemonyellow,	O	25
in	O	25
summer	O	25
Many	O	26
species	O	26
have	O	26
phyllodes	O	26
instead	O	26
of	O	26
true	O	26
leaves	O	26
deschampsia	B	27
cespitosa	I	27
(Tufted	O	27
hair	O	27
grass,	O	27
Tussock	O	27
grass)	O	27
See	O	28
morisia	B	28
monanthos	I	28
See	O	29
conophytum	B	29
frutescens	I	29
See	O	30
armeria	B	30
juniperifolia	I	30
chionodoxa	B	31
luciliae	I	31
of	O	31
gardens	O	31
See	O	32
phyllostachys	B	32
nigra	I	32
f	O	32
brachyscome	B	33
iberidifolia	I	33
(Swan	O	33
River	O	33
daisy)	O	33
See	O	34
saxifraga	B	34
burseriana	I	34
‘Brookside’	O	34
Fast-growing,	O	35
deciduous,	O	35
upright	O	35
shrub	O	35
acacia	O	36
dealbata,	O	36
illus	O	36
ilex	B	37
aquifolium	I	37
‘Silver	O	37
King’	O	37
(illus	O	37
Bears	O	38
large,	O	38
funnel-shaped,	O	38
purple	O	38
flowers	O	38
in	O	38
summer	O	38
Requires	O	39
a	O	39
sheltered,	O	39
sunny	O	39
position	O	39
and	O	39
fertile,	O	39
well-drained	O	39
soil	O	39
Aphids	O	40
and	O	40
red	B	40
spider	I	40
mite	O	40
may	O	40
be	O	40
troublesome	O	40
in	O	40
hot	O	40
weather	O	40
Has	O	41
deeply	O	41
divided,	O	41
pale	O	41
green,	O	41
basal	O	41
leaves	O	41
See	O	42
bomarea	B	42
multiflora	I	42
heptalobum	O	43
‘Rubrum’,	O	43
illus	O	43
Whitefly	O	44
and	O	44
red	B	44
spider	I	44
mite	O	44
may	O	44
be	O	44
a	O	44
problem	O	44
See	O	45
saxifraga	B	45
paniculata	I	45
osteospermum	B	46
ecklonis	I	46
‘Blue	O	46
Streak’	O	46
Vigorous,	O	47
evergreen,	O	47
prostrate	O	47
perennial	O	47
See	O	48
saxifraga	B	48
stolonifera	I	48
‘Tricolor’	O	48
See	O	49
firmiana	B	49
simplex	I	49
abutilon	O	50
striatum	O	50
Tolerates	O	51
urban	O	51
conditions	O	51
Z3–9	O	52
H9–1	O	52
Leucojum	O	53
autumnale	O	53
(Autumn	O	53
snowflake),	O	53
illus	O	53
anemone	B	54
hupehensis	I	54
‘September	O	54
Charm’	O	54
(illus	O	54
See	O	55
hedera	B	55
helix	I	55
‘Manda’s	O	55
Crested’	O	55
See	O	56
rhapis	B	56
excelsa	I	56
quercus	B	57
robur	I	57
(English	O	57
oak,	O	57
Pedunculate	O	57
oak)	O	57
See	O	58
juniperus	B	58
conferta	I	58
dendrobium	B	59
nobile	I	59
(illus	O	59
viburnum	B	60
tinus	I	60
(Laurustinus)	O	60
cotoneaster	B	61
conspicuus	I	61
var	O	61
See	O	62
ranunculus	B	62
constantinopolitanus	I	62
‘Plenus’	O	62
Z3–9	O	63
H9–1	O	63
artemisia	B	64
alba	I	64
‘Canescens’,	O	64
syn	O	64
salvia	B	65
officinalis	I	65
(Common	O	65
sage),	O	65
illus	O	65
gleditsia	B	66
triacanthos	I	66
(Honeylocust)	O	66
Except	O	67
with	O	67
skimmia	B	67
japonica	I	67
subsp	O	67
rhodanthe	B	68
chlorocephala	I	68
subsp	O	68
See	O	69
acanthus	O	69
hungaricus	O	69
calendula	B	70
officinalis	I	70
(English	O	70
marigold)	O	70
Z5–7	O	71
H7–5	O	71
achimenes	O	72
‘Brilliant’	O	72
Has	O	73
feathery,	O	73
silvery-green,	O	73
basal	O	73
leaves	O	73
‘Veronica	O	74
Tennant’,	O	74
illus	O	74
H	I	75
24in	O	75
(60cm),	O	75
S	O	75
20in	O	75
(50cm)	O	75
Cylindrical	O	76
cones,	O	76
4–6in	O	76
(10–15cm)	O	76
long,	O	76
are	O	76
green-brown,	O	76
ripening	O	76
to	O	76
brown	O	76
See	O	77
hedera	B	77
helix	I	77
‘Oro	O	77
di	O	77
Bogliasco’	O	77
Has	O	78
narrowly	O	78
oval,	O	78
toothed	O	78
leaves,	O	78
often	O	78
arranged	O	78
in	O	78
whorls	O	78
of	O	78
3	O	78
lythrum	B	79
salicaria	I	79
‘Fire	O	79
Candle’,	O	79
illus	O	79
78),	O	80
is	O	80
a	O	80
deciduous,	O	80
upright	O	80
tree	O	80
Acidanthera	O	81
murielae	O	81
prunus	B	82
mume	I	82
(Japanese	O	82
apricot)	O	82
See	O	83
hedera	B	83
helix	I	83
‘Pittsburgh’	O	83
Tie	O	84
lax-growing	O	84
species	O	84
to	O	84
a	O	84
support	O	84
if	O	84
necessary	O	84
acantholimon	O	85
japonicum	O	85
(Fullmoon	O	85
maple,	O	85
Japanese	O	85
maple)	O	85
epimedium	B	86
perralderianum	I	86
betula	B	87
nigra	I	87
(River	O	87
birch),	O	87
illus	O	87
See	O	88
dicentra	B	88
formosa	I	88
scabiosa	B	89
caucasica	I	89
‘Floral	O	89
Queen’	O	89
is	O	89
a	O	89
clumpforming	O	89
perennial	O	89
cryptanthus	B	90
bivittatus	I	90
asclepias	B	91
tuberosa	I	91
(Butterflyweed),	O	91
illus	O	91
achillea	O	92
‘Schwellenburg’	O	92
anemone	O	93
x	O	93
hybrida	O	93
‘Max	B	93
Vogel’	I	93
has	I	93
semidouble,	O	93
pinkish-mauve	O	93
flowers	O	93
on	O	93
wiry	O	93
stems	O	93
Semievergreen,	O	94
upright	O	94
perennial	O	94
buxus	B	95
balearica	I	95
(Balearic	O	95
boxwood),	O	95
illus	O	95
See	O	96
skimmia	B	96
japonica	I	96
subsp	O	96
kirengeshoma	B	97
palmata	I	97
(Yellow	O	97
waxbells),	O	97
illus	O	97
See	O	98
arisaema	B	98
triphyllum	I	98
sophora	B	99
japonica	I	99
(Japanese	O	99
pagoda	O	99
tree)	O	99
See	O	100
helichrysum	B	100
italicum	I	100
subsp	O	100
geranium	O	101
farreri	B	101
See	O	102
acantholimon	O	102
grosseri	O	102
See	O	103
desmodium	B	103
elegans	I	103
rudbeckia	B	104
hirta	I	104
(Black-eyed	O	104
Susan,	O	104
Gloriosa	O	104
daisy)	O	104
See	O	105
hypsela	B	105
reniformis	I	105
haberlea	B	106
rhodopensis	I	106
salix	B	107
alba	I	107
f	O	107
Broadly	O	108
oval,	O	108
deeply	O	108
lobed,	O	108
bright	O	108
green	O	108
leaves	O	108
turn	O	108
red	O	108
in	O	108
fall	O	108
phaius	B	109
tankervilleae	I	109
(Nun	O	109
orchid),	O	109
illus	O	109
portulaca	B	110
grandiflora	I	110
(Moss	O	110
rose,	O	110
Rose	O	110
moss,	O	110
Sun	O	110
plant)	O	110
prunus	B	111
pendula	I	111
‘Pendula	O	111
Rubra’	O	111
pulsatilla	B	112
vulgaris	I	112
subsp	O	112
achimenes	O	113
coccinea,	O	113
achimenes	O	113
pulchella	O	113
gypsophila	B	114
repens	I	114
Upright	O	115
perennial	O	115
Protect	O	116
neck	O	116
of	O	116
plant	O	116
from	O	116
winter	O	116
wet	O	116
with	O	116
a	O	116
deep	O	116
layer	O	116
of	O	116
stone	O	116
chippings	O	116
See	O	117
ipomoea	B	117
tricolor	I	117
‘Heavenly	O	117
Blue’	O	117
H	O	118
70ft	O	118
(20m),	O	118
S	O	118
40ft	O	118
(12m)	O	118
ipheion	B	119
uniflorum	I	119
(Spring	O	119
starflower)	O	119
Needs	O	120
full	O	120
or	O	120
partial	O	120
shade	O	120
and	O	120
moist	O	120
but	O	120
well-drained	O	120
soil,	O	120
except	O	120
for	O	120
omphalodes	B	120
linifolia	I	120
and	O	120
omphalodes	O	120
luciliae,	O	120
which	O	120
prefer	O	120
sun	O	120
See	O	121
cotoneaster	B	121
cashmiriensis	I	121
symphytum	B	122
ibericum	I	122
‘Jubilee’	O	122
See	O	123
potentilla	B	123
fruticosa	I	123
‘Tangerine’	O	123
achillea	O	124
‘Terracotta’,	O	124
illus	O	124
cupressus	B	125
sempervirens	I	125
‘Stricta’,	O	125
illus	O	125
See	O	126
nomocharis	B	126
pardanthina	I	126
See	O	127
veronica	B	127
spicata	I	127
subsp	O	127
forsythia	O	128
‘Beatrix	O	128
Farrand’	O	128
and	O	128
forsythia	O	128
x	O	128
intermedia	O	128
‘Lynwood	O	128
Variety’	O	128
make	O	128
attractive,	O	128
flowering	B	128
hedges	I	128
Use	O	129
tepid	O	129
water	O	129
for	O	129
watering	O	129
pot-grown	O	129
plants	O	129
acantholimon	O	130
buergerianum	O	130
(Trident	O	130
maple)	O	130
quercus	B	131
ilex	I	131
(Holly	O	131
oak,	O	131
Holm	O	131
oak)	O	131
abutilon	O	132
‘Kentish	O	132
Belle’,	O	132
illus	O	132
juniperus	B	133
horizontalis	I	133
‘Plumosa	O	133
Compacta’	O	133
turn	O	133
bronze-purple	O	133
in	O	133
winter	O	133
euonymus	B	134
europaeus	I	134
and	O	134
euonymus	O	134
japonicus	O	134
may	O	134
be	O	134
attacked	O	134
by	O	134
caterpillars;	O	134
euonymus	O	134
japonicus	O	134
is	O	134
susceptible	O	134
to	O	134
mildew	O	134
quercus	B	135
cerris	I	135
(Turkey	O	135
oak)	O	135
asarum	B	136
caudatum	I	136
See	O	137
ceropegia	B	137
linearis	I	137
See	O	138
daphniphyllum	B	138
macropodum	I	138
See	O	139
viburnum	B	139
plicatum	I	139
‘Nanum	O	139
Semperflorens’	O	139
dracaena	B	140
marginata	I	140
H	O	141
and	O	141
S	O	141
14in	O	141
(35cm)	O	141
or	O	141
more	O	141
Propagate	O	142
by	O	142
division	O	142
in	O	142
spring	O	142
or	O	142
early	O	142
fall	O	142
or	O	142
by	O	142
seed	O	142
in	O	142
fall	O	142
Z5–7	O	143
H7–5	O	143
acantholimon	O	144
palmatum	O	144
(Japanese	O	144
maple)	O	144
H	O	145
and	O	145
S	O	145
4in	O	145
(10cm)	O	145
Pot	O	146
specimens	O	146
under	O	146
glass	O	146
are	O	146
susceptible	O	146
to	O	146
red	B	146
spider	I	146
mite	O	146
See	O	147
ulmus	B	147
glabra	I	147
‘Camperdownii’	O	147
‘Gold	O	148
Plate’,	O	148
illus	O	148
lobelia	B	149
erinus	I	149
hedera	B	150
colchica	I	150
‘Paddy’s	O	150
Pride’	O	150
illus	O	150
symphoricarpos	B	151
orbiculatus	I	151
‘Variegatus’,	O	151
illus	O	151
See	O	152
spathiphyllum	B	152
wallisii	I	152
‘Clevelandii’	O	152
achimenes	O	153
pulchella	O	153
acacia	O	154
pravissima,	O	154
illus	O	154
purpurea,	O	155
polygala	B	155
chamaebuxus	I	155
var	O	155
See	O	156
glyceria	B	156
maxima	I	156
‘Variegata’	O	156
acorus	B	157
gramineus	I	157
var	O	157
deutzia	B	158
scabra	I	158
‘Flore	O	158
Pleno’	O	158
is	O	158
a	O	158
deciduous,	O	158
upright	O	158
shrub	O	158
H	O	159
3ft	O	159
(1m),	O	159
S	O	159
2ft	O	159
(60cm)	O	159
See	O	160
prunus	B	160
pendula	I	160
‘Stellata’	O	160
portulacaria	B	161
afra	I	161
‘Variegatus’	O	161
is	O	161
an	O	161
evergreen	O	161
or	O	161
semievergreen,	O	161
erect	O	161
shrub	O	161
with	O	161
more	O	161
or	O	161
less	O	161
horizontal	O	161
branches	O	161
astrantia	B	162
major	I	162
subsp	O	162
clethra	B	163
alnifolia	I	163
(Summersweet,	O	163
Sweet	O	163
pepperbush)	O	163
echinocereus	B	164
reichenbachii	I	164
Broad	O	165
3-	O	165
or	O	165
5-lobed,	O	165
bright	O	165
green	O	165
leaves	O	165
