words	labels	sentence_id
See	O	0
allium	B	0
unifolium	I	0
buddleja	B	1
alternifolia	I	1
(Fountain	O	1
butterfly	O	1
bush),	O	1
illus	O	1
See	O	2
chimonanthus	B	2
praecox	I	2
‘Luteus’	O	2
‘Temple’s	O	3
Upright’,	O	3
illus	O	3
Z5–6	O	4
H6–5	O	4
Dark	O	5
green	O	5
leaves	O	5
have	O	5
3	O	5
leaflets	O	5
and	O	5
turn	O	5
red	O	5
and	O	5
orange	O	5
in	O	5
fall	O	5
abies	O	6
veitchii,	O	6
illus	O	6
Has	O	7
pale	O	7
green	O	7
leaves,	O	7
silver	O	7
beneath,	O	7
and	O	7
cylindrical,	O	7
violet-blue	O	7
cones,	O	7
3–5in	O	7
(8–12cm)	O	7
long	O	7
pyracantha	B	8
atalantioides	I	8
See	O	9
stachys	B	9
byzantina	I	9
Deciduous,	O	10
round-headed	O	10
tree	O	10
Z3–9	O	11
H9–1	O	11
tillandsia	B	12
lindenii	I	12
(Blue-flowered	O	12
torch),	O	12
illus	O	12
‘Nathalie’,	O	13
H	O	13
6in	O	13
(15cm),	O	13
S	O	13
16in	O	13
(40cm),	O	13
the	O	13
deepest	O	13
and	O	13
brightest	O	13
of	O	13
the	O	13
erica	B	13
carnea	I	13
cultivars,	O	13
has	O	13
purple	O	13
flowers,	O	13
neat,	O	13
dark	O	13
green	O	13
foliage	O	13
and	O	13
a	O	13
compact,	O	13
upright	O	13
habit	O	13
See	O	14
leptospermum	B	14
polygalifolium	I	14
H	O	15
and	O	15
S	O	15
30ft	O	15
(10m)	O	15
or	O	15
more	O	15
See	O	16
nierembergia	B	16
linariifolia	I	16
See	O	17
furcraea	B	17
foetida	I	17
Has	O	18
brilliant	O	18
candy-pink,	O	18
young	O	18
shoots	O	18
in	O	18
winter	O	18
and	O	18
large,	O	18
boldly	O	18
lobed,	O	18
mid-green	O	18
leaves	O	18
that	O	18
turn	O	18
bright	O	18
yellow	O	18
in	O	18
fall	O	18
2m),	O	19
S	O	19
18in	O	19
(45cm)	O	19
5m),	O	20
has	O	20
short	O	20
leaves	O	20
and	O	20
forms	O	20
a	O	20
spreading,	O	20
flat	O	20
topped-mound	O	20
Semievergreen,	O	21
rounded,	O	21
compact,	O	21
woodybased	O	21
perennial	O	21
acacia	B	22
verticillata	I	22
(Prickly	O	22
Moses)	O	22
gleditsia	B	23
triacanthos	I	23
(Honeylocust)	O	23
achillea	O	24
‘Summerwine’	O	24
thuja	B	25
occidentalis	I	25
(American	O	25
arborvitae,	O	25
Eastern	O	25
arborvitae,	O	25
White	O	25
cedar)	O	25
‘Tickled	O	26
Pink’,	O	26
H	O	26
32–39in	O	26
(80–100cm),	O	26
is	O	26
variable	O	26
and	O	26
produces	O	26
flower	O	26
heads	O	26
from	O	26
rich	O	26
red-pink	O	26
to	O	26
softer,	O	26
pastel	O	26
shades	O	26
alopecurus	B	27
pratensis	I	27
‘Aureomarginatus’	O	27
‘Montrosa’,	I	28
H	O	28
4ft	O	28
(1	O	28
olea	B	29
europaea	I	29
(Olive)	O	29
kolkwitzia	B	30
amabilis	I	30
acaena	O	31
anserinifolia	O	31
See	O	32
luzula	B	32
sylvatica	I	32
‘Thompsonii’,	O	33
illus	O	33
Z5–6	O	34
H6–5	O	34
See	O	35
iris	B	35
unguicularis	I	35
subsp	O	35
In	O	36
summer	O	36
bears	O	36
funnel-shaped,	O	36
red-orange	O	36
flowers,	O	36
to	O	36
11/2in	O	36
(4cm)	O	36
long,	O	36
with	O	36
yellow	O	36
throats	O	36
See	O	37
oxalis	B	37
tetraphylla	I	37
adiantum	B	38
pedatum	I	38
var	O	38
‘Sango-kaku’,	O	39
syn	O	39
Z15	O	40
H11–1	O	40
tilia	B	41
tomentosa	I	41
(European	O	41
white	O	41
linden,	O	41
Silver	O	41
linden)	O	41
vinca	B	42
major	I	42
(Blue	O	42
buttons)	O	42
Many	O	43
acers	O	43
produce	O	43
their	O	43
best	O	43
fall	O	43
color	O	43
on	O	43
neutral	O	43
to	O	43
acid	O	43
soil	O	43
prunus	B	44
padus	I	44
‘Grandiflora’,	O	44
illus	O	44
acorus	B	45
gramineus	I	45
var	O	45
In	O	46
summer	O	46
bears	O	46
a	O	46
succession	O	46
of	O	46
rounded,	O	46
deep	O	46
pink	O	46
flower	O	46
heads,	O	46
fading	O	46
gradually	O	46
to	O	46
a	O	46
softer	O	46
color,	O	46
creating	O	46
a	O	46
2-tone	O	46
effect	O	46
anaphalis	B	47
triplinervis	I	47
‘Summer	O	47
Snow’	O	47
illus	O	47
crataegus	B	48
monogyna	I	48
(Singleseed	O	48
hawthorn)	O	48
hedera	B	49
helix	I	49
‘Deltoidea’	O	49
(Sweetheart	O	49
ivy),	O	49
H	O	49
15ft	O	49
(5m),	O	49
S	O	49
10ft	O	49
(3m),	O	49
has	O	49
heart-shaped	O	49
leaves;	O	49
is	O	49
suitable	O	49
only	O	49
for	O	49
growing	O	49
against	O	49
a	O	49
wall	O	49
Bears	O	50
erect	O	50
cones	O	50
that	O	50
ripen	O	50
in	O	50
their	O	50
first	O	50
fall	O	50
to	O	50
release	O	50
seeds	O	50
and	O	50
scales	O	50
See	O	51
cuphea	B	51
ignea	I	51
acantholimon	O	52
palmatum	O	52
(Japanese	O	52
maple)	O	52
See	O	53
sanguinaria	B	53
canadensis	I	53
f	O	53
buxus	B	54
sempervirens	I	54
(Common	O	54
boxwood)	O	54
See	O	55
acis	O	55
rufinerve	O	55
‘Hatsuyuki’	O	55
muscari	B	56
comosum	I	56
‘Monstrosum’	O	56
illus	O	56
‘Argentea’,	O	57
illus	O	57
rhamnus	B	58
alaternus	I	58
(Italian	O	58
buckthorn)	O	58
See	O	59
hedera	B	59
helix	I	59
‘Pedata’	O	59
See	O	60
pinus	B	60
wallichiana	I	60
See	O	61
saxifraga	B	61
burseriana	I	61
‘Gloria’	O	61
See	O	62
acantholimon	O	62
saccharum	O	62
subsp	O	62
See	O	63
ilex	B	63
aquifolium	I	63
‘Golden	O	63
Queen’	O	63
See	O	64
diascia	B	64
barberae	I	64
‘Fisher’s	O	64
Flora’	O	64
abutilon	B	65
vitifolium	I	65
See	O	66
dodecatheon	B	66
pulchellum	I	66
Trailing	O	67
perennial	O	67
hedera	B	68
helix	I	68
var	O	68
105),	O	69
H	O	69
6ft	O	69
(2m),	O	69
S	O	69
6–10ft	O	69
(2–3m),	O	69
is	O	69
a	O	69
cultivar	O	69
with	O	69
steel-blue	O	69
foliage	O	69
iris	B	70
laevigata	I	70
‘Rose	O	70
Queen’	O	70
(illus	O	70
salvia	B	71
farinacea	I	71
philesia	B	72
magellanica	I	72
aesculus	B	73
indica	I	73
(Indian	O	73
horse-chestnut)	O	73
See	O	74
acaena	B	74
saccaticupula	I	74
‘Blue	O	74
Haze’	O	74
aubrieta	B	75
deltoidea	I	75
‘Argenteovariegata’,	O	75
illus	O	75
H	O	76
and	O	76
S	O	76
20ft	O	76
(6m)	O	76
or	O	76
more	O	76
See	O	77
salix	B	77
alba	I	77
var	O	77
aconitum	B	78
x	I	78
cammarum	I	78
‘Bicolor’,	O	78
syn	O	78
See	O	79
chionodoxa	B	79
forbesii	I	79
Has	O	80
very	O	80
narrow,	O	80
cylindrical,	O	80
spine-like,	O	80
rich	O	80
green	O	80
phyllodes	O	80
and,	O	80
in	O	80
mid-spring,	O	80
globular	O	80
clusters	O	80
of	O	80
pale	O	80
yellow	O	80
flowers	O	80
Makes	O	81
a	O	81
fine	O	81
specimen	O	81
tree	O	81
and	O	81
is	O	81
good	O	81
for	O	81
an	O	81
exposed	O	81
position	O	81
hedera	B	82
canariensis	I	82
‘Red	O	83
Velvet’	O	83
(illus	O	83
prunus	B	84
persica	I	84
(Peach)	O	84
symphoricarpos	B	85
albus	I	85
(Snowberry)	O	85
davidiana,	O	86
clematis	B	86
heracleifolia	I	86
Deciduous,	O	87
spreading	O	87
tree	O	87
platycodon	B	88
grandiflorus	I	88
‘Mariesii’	O	88
is	O	88
a	O	88
clump-forming	O	88
perennial	O	88
H	O	89
50ft	O	89
(15m),	O	89
S	O	89
20ft	O	89
(6m)	O	89
ophrys	B	90
tenthredinifera	I	90
(Sawfly	O	90
orchid),	O	90
illus	O	90
Z15	O	91
H11–1	O	91
See	O	92
polygala	B	92
chamaebuxus	I	92
var	O	92
helonias	B	93
bullata	I	93
(Swamp	O	93
pink)	O	93
lathyrus	B	94
odoratus	I	94
(Sweet	O	94
pea)	O	94
zinnia	B	95
elegans	I	95
capitata,	O	96
cornus	O	96
florida	O	96
and	O	96
cornus	B	96
kousa	I	96
by	O	96
seed	O	96
in	O	96
fall	O	96
or	O	96
by	O	96
softwood	O	96
cuttings	O	96
in	O	96
summer;	O	96
C	O	96
ACHIMENES	O	97
GESNERIACEAE	O	97
Genus	O	97
of	O	97
erect	O	97
or	O	97
trailing	O	97
perennials	O	97
with	O	97
small	O	97
rhizomes	O	97
and	O	97
showy	O	97
flowers	O	97
See	O	98
primula	B	98
prolifera	I	98
Conical	O	99
conifer	O	99
catharanthus	B	100
roseus	I	100
is	O	100
often	O	100
grown	O	100
annually	O	100
from	O	100
seed	O	100
or	O	100
cuttings	O	100
and	O	100
used	O	100
as	O	100
a	O	100
summer	O	100
bedding	O	100
plant	O	100
in	O	100
cool	O	100
climates	O	100
See	O	101
plumeria	B	101
rubra	I	101
f	O	101
Z6–8	O	102
H8–2	O	102
populus	B	103
alba	I	103
‘Rocket’,	O	103
S25ft	O	103
(8m),	O	103
is	O	103
narrowly	O	103
conical	O	103
hedera	B	104
canariensis	I	104
of	O	104
gardens	O	104
Produces	I	105
a	I	105
basal	O	105
cluster	O	105
of	O	105
narrowly	O	105
strap-shaped,	O	105
semierect	O	105
leaves	O	105
See	O	106
hedera	B	106
helix	I	106
‘Oro	O	106
di	O	106
Bogliasco’	O	106
See	O	107
viburnum	B	107
plicatum	I	107
f	O	107
symphytum	B	108
ibericum	I	108
‘Jubilee’	O	108
T	O	109
All	O	109
parts	O	109
of	O	109
most	O	109
species,	O	109
especially	O	109
the	O	109
fruits	O	109
of	O	109
solanum	B	109
capsicastrum	I	109
and	O	109
solanum	O	109
pseudocapsicum,	O	109
can	O	109
cause	O	109
severe	O	109
discomfort	O	109
if	O	109
ingested	O	109
asarum	B	110
caudatum	I	110
haberlea	B	111
rhodopensis	I	111
See	O	112
hedera	B	112
helix	I	112
f	O	112
ipheion	B	113
uniflorum	I	113
(Spring	O	113
starflower)	O	113
See	O	114
astrantia	B	114
major	I	114
subsp	O	114
cryptomeria	B	115
japonica	I	115
(Japanese	O	115
cryptomeria)	O	115
deschampsia	B	116
cespitosa	I	116
(Tufted	O	116
hair	O	116
grass,	O	116
Tussock	O	116
grass)	O	116
Thrives	O	117
on	O	117
poor	O	117
soil	O	117
See	O	118
melocactus	B	118
intortus	I	118
Has	O	119
feathery,	O	119
dark	O	119
green,	O	119
basal	O	119
leaves	O	119
and	O	119
bears	O	119
flat	O	119
heads	O	119
of	O	119
rose-red	O	119
flowers,	O	119
maturing	O	119
to	O	119
lemonyellow,	O	119
