S. sargentiana, not metaphorical, multiword expression
B. x tuberhybrida Mocha Series, not metaphorical, multiword expression
P. campanulata, metaphorical, multiword expression
A. circinatum, not metaphorical, multiword expression
R. Dancing queen, metaphorical, multiword expression
A. cappadocicum, not metaphorical, multiword expression
R. augustinii, not metaphorical, multiword expression
I. crenata, not metaphorical, multiword expression
R. sericea subsp. omeiensis, not metaphorical, multiword expression
E. ciliaris, not metaphorical, multiword expression
L. x chaytorae, not metaphorical, multiword expression
A. grandis, not metaphorical, multiword expression
P. paniculata, not metaphorical, multiword expression
A. parviﬂora, not metaphorical, multiword expression
M. stellate, metaphorical, multiword expression
P. kewensis, not metaphorical, multiword expression
A. x cammarum, not metaphorical, multiword expression
R. The times rose, not metaphorical, multiword expression
G. saxosa, not metaphorical, multiword expression
P. bistorta, not metaphorical, multiword expression
R. Kent, not metaphorical, multiword expression
A. brevistyla, not metaphorical, multiword expression
A. simplex, metaphorical, multiword expression
A. ulicifolia, not metaphorical, multiword expression
C. vulgaris, not metaphorical, multiword expression
S. arachnoideum, not metaphorical, multiword expression
C. cirrhosa, not metaphorical, multiword expression
A. deliciosa, metaphorical, multiword expression
H. fulva, not metaphorical, multiword expression
P. Regalia Series, not metaphorical, multiword expression
R. praecox, not metaphorical, multiword expression
L. x intermedia, not metaphorical, multiword expression
R. fulvum, not metaphorical, multiword expression
R. rugosa, metaphorical, multiword expression
C. ﬂammula, not metaphorical, multiword expression
R. x odorata, not metaphorical, multiword expression
E. angustifolia, not metaphorical, multiword expression
A. clypeolata, not metaphorical, multiword expression
G. x macaulayi, not metaphorical, multiword expression
R. ﬁlipes, not metaphorical, multiword expression
P. ofﬁcinalis, not metaphorical, multiword expression
C. goulimyi, not metaphorical, multiword expression
S. x sylvestris, not metaphorical, multiword expression
C. alliariifolia, not metaphorical, multiword expression
R. gallica var. ofﬁcinalis, not metaphorical, multiword expression
P. heterophyllus, not metaphorical, multiword expression
H. serrata, not metaphorical, multiword expression
L. pyrenaicum f. rubrum, not metaphorical, multiword expression
R. moyesii, not metaphorical, multiword expression
S. nemorosa, not metaphorical, multiword expression
A. ptarmica, not metaphorical, multiword expression
L. hansonii, not metaphorical, multiword expression
P. Bulls Eye Series, metaphorical, multiword expression
C. kotschyanus, not metaphorical, multiword expression
L. rosthornii, not metaphorical, multiword expression
R. Summer wine, metaphorical, multiword expression
A. obesum, not metaphorical, multiword expression
E.C. Buxton, not metaphorical, multiword expression
A. x frikartii, not metaphorical, multiword expression
R. strawberry hill, not metaphorical, multiword expression
A. wilkesiana, not metaphorical, multiword expression
A. nikoensee, not metaphorical, multiword expression
S. glutinosa, not metaphorical, multiword expression
