Lagerstroemia indica, not metaphorical, multiword expression
Jerusalem thorn, metaphorical, multiword expression
Fritillaria pudica, not metaphorical, multiword expression
Mitella breweri, not metaphorical, multiword expression
Astilboides tabularis, not metaphorical, multiword expression
Ceanothus impressus, not metaphorical, multiword expression
Crassulaceae, not metaphorical, not multiword expression
Rhodanthe chlorocephala subsp. rosea, not metaphorical, multiword expression
Wisley Primrose, not metaphorical, multiword expression
Caragana arborescens, not metaphorical, multiword expression
Madame Florent Stepman, not metaphorical, multiword expression
Glauca, not metaphorical, not multiword expression
Rothschildiana, not metaphorical, not multiword expression
Bold Print, metaphorical, multiword expression
Tara, metaphorical, not multiword expression
Acer forrestii, not metaphorical, multiword expression
Halimiocistus sahucii, not metaphorical, multiword expression
Otto Froebel, not metaphorical, multiword expression
Ranunculus alpestris, not metaphorical, multiword expression
Giant Spaniard, metaphorical, multiword expression
Hakonechloa macra, not metaphorical, multiword expression
Hebe albicans, not metaphorical, multiword expression
Potter’s Wheel, metaphorical, multiword expression
Calamagrostis brachytricha, not metaphorical, multiword expression
Spiceberry, metaphorical, multiword expression
Cymbidium Portelet, not metaphorical, multiword expression
Mary Stoker, not metaphorical, multiword expression
Phlox subulat, not metaphorical, multiword expression
Belgica Aurea, not metaphorical, multiword expression
Plumbago auriculata, metaphorical, multiword expression
Scanlon, not metaphorical, not multiword expression
Great Maiden’s Blush, metaphorical, multiword expression
Red baneberry, not metaphorical, multiword expression
Columnea crassifolia, metaphorical, multiword expression
Olearia nummulariifolia, not metaphorical, multiword expression
Korean ﬁr, not metaphorical, multiword expression
Antirrhinum majus, metaphorical, multiword expression
Chincherinchee, not metaphorical, not multiword expression
Foxtail fern, not metaphorical, multiword expression
Floss silk tree, metaphorical, multiword expression
Hoya lanceolata, not metaphorical, multiword expression
Wine and Roses, not metaphorical, multiword expression
Mutisia decurrens, not metaphorical, multiword expression
Pewter Moon, metaphorical, multiword expression
Alpine pink, not metaphorical, multiword expression
Geranium psilostemon, not metaphorical, multiword expression
Malope triﬁda, not metaphorical, multiword expression
Edraianthus pumilio, not metaphorical, multiword expression
Cyclamen hederifolium, not metaphorical, multiword expression
Pieris, not metaphorical, not multiword expression
Lonicera x purpusii, not metaphorical, multiword expression
Yucca ﬂaccida, not metaphorical, multiword expression
Red Damask, metaphorical, multiword expression
Lilium speciosum var. Rubrum, not metaphorical, multiword expression
Phacelia campanularia,  metaphorical, multiword expression
Chimborazo, not metaphorical, not multiword expression
Green spice, metaphorical, multiword expression
Heartleaf, metaphorical, not multiword expression
Opuntia, not metaphorical, not multiword expression
Trachycarpus fortunei, not metaphorical, multiword expression
Ribes sanguineum, metaphorical, multiword expression
Diamond frost, metaphorical, multiword expression
Coryphantha cornifera, not metaphorical, multiword expression
Light of Loddon, metaphorical, multiword expression
Chatham Island forget-me-not, metaphorical, multiword expression
Lophospermum erubescens, not metaphorical, multiword expression
C. alba, metaphorical, multiword expression
White Heather, metaphorical, multiword expression
Columnea x banksia, metaphorical, multiword expression
Lewisia tweedyi, not metaphorical, multiword expression
Mr Fokker, not metaphorical, multiword expression
Pachysandra terminalis, metaphorical, multiword expression
Anagallis tenella, not metaphorical, multiword expression
Glory bush, metaphorical, multiword expression
Snowburner, metaphorical,not multiword expression
Pleniﬂora, not metaphorical, not multiword expression
Teucrium fruticans, not metaphorical, multiword expression
Iberis sempervirens, not metaphorical, multiword expression
Fraxinus, not metaphorical, not multiword expression
Cotoneaster salicifolius, not metaphorical, multiword expression
Variegatum, not metaphorical, not multiword expression
Maurice Dryden, not metaphorical, multiword expression
Euphorbia cyparissias, not metaphorical, multiword expression
Cotinus coggygria, not metaphorical, multiword expression
Saponaria ocymoides, not metaphorical, multiword expression
Indigofera dielsiana, not metaphorical, multiword expression
Tiramisu, metaphorical, not multiword expression
Dentata Variegata, not metaphorical, multiword expression
Mariesii, not metaphorical, not multiword expression
Anemone blanda, metaphorical, multiword expression
Yae-murasaki, not metaphorical, multiword expression
Goldcrest, metaphorical, not multiword expression
Enkianthus perulatus, not metaphorical, multiword expression
Ozothamnus coralloides, not metaphorical, multiword expression
Omphalodes verna, not metaphorical, multiword expression
Cyananthus, not metaphorical, not multiword expression
Nantyderry Sunshine, metaphorical, multiword expression
Blue Cloud, metaphorical, multiword expression
Black Hero, metaphorical, multiword expression
Daybreak bright yellow, metaphorical, multiword expression
Tumbling Waters, metaphorical, multiword expression
Burning bush, metaphorical, multiword expression
Goldsmith, metaphorical, not multiword expression
Petrea volubilis, metaphorical, multiword expression
Helonias bullata, not metaphorical, multiword expression
Aristolochia littoralis, not metaphorical, multiword expression
Pachycereus schottii, not metaphorical, multiword expression
Buddleja globosa,  metaphorical, multiword expression
Angelica archangelica, not metaphorical, multiword expression
Tolmiea menziesii, not metaphorical, multiword expression
Giant granadilla, metaphorical, multiword expression
Yellow skunk cabbage, not metaphorical, multiword expression
Snowdrop windﬂower, metaphorical, multiword expression
Centaurea montana, not metaphorical, multiword expression
